id,act_id,chapter_name,chapter_number
404,107,PUNISHMENTS,CHAPTER V
405,107,ARREST AND PROCEEDINGS BEFORE TRIAL,CHAPTER VI
406,107,COAST GUARD COURTS,CHAPTER VII
407,107,PROCEDURE OF COAST GUARD COURTS,CHAPTER VIII
408,107,EXECUTION AND SUSPENSION OF SENTENCES,CHAPTER IX
409,107,CHIEF LAW OFFICER AND LAW OFFICERS,CHAPTER X
410,108,PRELIMINARY,CHAPTER I
411,108,METRO RAILWAY ADMINISTRATION,CHAPTER II
412,108,ACQUISITION,CHAPTER III
413,108,CONSTRUCTION OF WORKS,CHAPTER IV
414,108,INSPECTION OF METRO RAILWAY,CHAPTER V
415,108,MISCELLANEOUS,CHAPTER VI
416,109,PRELIMINARY,CHAPTER I
417,109,"ORGANISATION, SUPERINTENDENCE AND CONTROL OF THE POLICE FORCE",CHAPTER II
418,109,MISCELLANEOUS,CHAPTER XI
419,109,"REGULATION, CONTROL AND DISCIPLINE OF THE DELHI POLICE",CHAPTER III
420,109,POLICE REGULATIONS,CHAPTER IV
421,109,SPECIAL MEASURES FOR MAINTENANCE OF PUBLIC ORDER AND SECURITY OF STATE,CHAPTER V
422,109,EXECUTIVE DUTIES AND POWERS OF POLICE OFFICERS,CHAPTER VI
423,109,POWERS IN RELATION TO UNCLAIMED PROPERTY,CHAPTER VII
424,109,"SPECIAL PROVISIONS RELATING TO EXERCISE OF POWERS UNDER THE CODE OF CRIMINAL PROCEDURE, 1973",CHAPTER VIII
